type_id,manufacturer,model,series
CL35,Bombardier Inc,Bombardier BD-100 Challenger 350,CL35
FA5X,Dassault Aviation,Dassault Falcon 5X,FA5X
KA62,Kamov,Kamov Ka-62,KA62
MI4,Mil Moscow Helicopter Plant,Mil Mi-4,MI4
PUMA,Aérospatiale,Aerospatiale SA330 Puma,PUMA
S58P,Sikorsky Aircraft Corporation,Sikorsky SH-34 Seabat,S58P
S58T,Sikorsky Aircraft Corporation,Sikorsky H-34 Choctaw,S58T
WESX,Westland Aircraft,Westland WS-58 Wessex,WESX
_A139,Agusta,Agusta AW-139,A139
_A139_2,Bell-Agusta Aerospace Company (BAAC),Bell-Agusta AB-139,A139
_A50_1,Ilyushin Aviation Complex,Ilyushin A-50,A50
_H25C_1,Raytheon Aircraft Company,Raytheon Hawker 1000,H25C
_HF20_1,Messerschmitt-Bölkow-Blohm (MBB),HFB-320 Hansa,HF20
_IA50_1,Dirección Nacional de Investigaciones y Fabricaciones Aer.,Dinfia IA-50 Guarani 2,IA50
A139,AgustaWestland,AgustaWestland AW139,A139
A50,Beriev Aircraft Company,Beriev A-50,A50
BE99,Beech Aircraft,Beechcraft Model 99 Airliner/Commuter,BE99
H25C,Britisch Aerospace (BAe),British Aerospace BAe-125-1000,H25C
HF20,Hamburger Flugzeugbau,Hamburger Flugzeugbau HFB-320 Hansa,HF20
IA50,Fabrica Militar de Aviones (FMA),Fma IA-50 Guarani 2,IA50
_B212_1,Agusta,Agusta AB-212,B212
_H25A_1,Hawker Siddeley,Hawker Siddeley HS.125-1,H25A
_HERN_1,Hawker Siddeley,Hawker Siddeley DH.114 Heron,HERN
_HERN_2,Riley Aircraft Corporation,Riley Heron,HERN
B212,Bell Helicopter,Bell 212 Twin Huey,B212
B214,Bell Helicopter,Bell 214,B214
DC2,Douglas Aircraft Company,Douglas DC-2,DC2
E3CF,The Boeing Company,Boeing E-3A (CFM56) Sentry,E3CF
E3TF,The Boeing Company,Boeing E-3A (TF33) Sentry,E3TF
E550,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-550 Legacy 500,E550
EV55,Evektor spol sro,Evektor EV-55 Outback,EV55
FA20,Dassault Aviation,Dassault Falcon 20,FA20
FA7X,Dassault Aviation,Dassault Falcon 7X,FA7X
H25A,de Havilland Aircraft Company ,de Havilland DH.125 Jet Dragon,H25A
HERN,de Havilland Aircraft Company ,de Havilland DH.114 Heron,HERN
S601,Aérospatiale,Aerospatiale SN-601 Corvette,S601
AC130,Lockheed Corporation,Lockheed AC-130,C130
EC130H,Lockheed Corporation,Lockheed EC-130H Compass Call,C130
H155,Airbus Helicopters,Airbus Helicopters H155,EC55
_B412_1,Agusta,Agusta AB-412 Griffon,B412
_B412_2,Indonesian Aerospace (IAe),Dirgantara NBell 412,B412
_B412_3,PT Industri Pesawat Terbang Nusantara,Nusantara NBell 412,B412
_BE20_1,Hawker Beechcraft Corporation ,Hawker Beechcraft King Air 200,BE20
_BE20_2,Raytheon Aircraft Company,Raytheon 200 Super King Air,BE20
_H25B_1,Britisch Aerospace (BAe),British Aerospace BAe-125-800,H25B
_H25B_2,Hawker Beechcraft Corporation ,Hawker Beechcraft 750 / 850 / 900,H25B
_H25B_3,Hawker Siddeley,Hawker Siddeley HS.125-700,H25B
_H25B_4,Raytheon Aircraft Company,Raytheon Hawker 800,H25B
B412,Bell Helicopter,Bell 412,B412
BE10,Beech Aircraft,Beechcraft Model 100 King Air,BE10
BE20,Beech Aircraft,Beechcraft Super King Air,BE20
E35L,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-135BJ Legacy 600/650,E35L
EC55,Eurocopter Group ,Eurocopter EC155,EC55
H25B,Hawker Aircraft,Hawker 750 / 800 / 850 / 900 / XP,H25B
NOMA,Government Aircraft Factory (GAF),GAF Nomad,NOMA
_AN2_1,Aero Industrial Colombiana SA,AICSA An-2,AN2
_AN2_2,Nanchang Aircraft Manufacturing Company,Nanchang Y-5,AN2
_AN2_3,Polskie Zaklady Lotnicze Sp z oo,PZL An-2 Antek,AN2
_AN2_4,Shijiazhuang Aircraft Manufacturing Corporation,Shijiazhuang Y-5,AN2
_ATLA_1,Dassault Aviation,Dassault 1150 Atlantic,ATLA
_F406_1,Reims Aviation,Reims F406 Vigilant,F406
_S55T_1,Vertical Aviation Technologies Inc,Vat Elite,S55T
_S55T_2,Westland Aircraft,Westland WS-55 Whirlwind,S55T
_S76_1,Keystone Helicopter Corporation,Keystone S-76,S76
ALH,Hindustan Aeronautics Limited (HAL),HAL Dhruv,ALH
AN2,Antonov,Antonov An-2,AN2
AN3,Antonov,Antonov An-3,AN3
ATLA,Breguet Aviation,Breguet BR.1150 Atlantic,ATLA
C680,Cessna Aircraft Company,Cessna 680 Citation Sovereign,C680
C750,Cessna Aircraft Company,Cessna 750 Citation X,C750
CD2,Claudius Dornier Seastar GmbH & Co KG,Dornier CD-2 Seastar,CD2
F406,Cessna Aircraft Company,Cessna F406 Vigilant,F406
FLAM,Dassault Aviation,Dassault MD-315 Flamant,FLAM
H160,Airbus Helicopters,Airbus Helicopters H-160,H160
L14,Lockheed Corporation,Lockheed 14 Super Electra,L14
MH20,Mitsubishi Heavy Industries,Mitsubishi MH-2000,MH20
MU2,Mitsubishi Heavy Industries,Mitsubishi MU-2 Solitaire,MU2
S55P,Sikorsky Aircraft Corporation,Sikorsky H-19 Chickasaw,S55P
S55T,Sikorsky Aircraft Corporation,Sikorsky S-55T,S55T
S76,Sikorsky Aircraft Corporation,Sikorsky S-76,S76
SM60,Stinson Aircraft Corporation,Stinson SM-6000 Tri-Motor,SM60
UH1Y,Bell Helicopter,Bell UH-1Y Venom,UH1Y
W3,PZL Świdnik SA,PZL W-3 Sokół,W3
_B18T_1,Hamilton Metalplane Company,Hamilton Westwind 2,B18T
_B18T_2,Volpar Inc,Volpar Turbo 18,B18T
_DH3T_1,Vardax Corporation,Vardax Vazar Dash 3,DH3T
_DHC3_1,Airtech Canada Aviation Services Ltd,Airtech DHC-3-PZL3S Otter,DHC3
_P3_1,Kawasaki Heavy Industries Aerospace Company,Kawasaki P-3 Orion,P3
_P3_2,Lockheed Martin,Lockheed Martin P-3 Orion,P3
_S65C_1,Aérospatiale,Aerospatiale SA-365C Dauphin 2,S65C
_S65C_9,Airbus Helicopters,Airbus Helicopters AS365 N3+,S65C
_SBR1_1,North American Rockwell Corporation,North American Rockwell T-39 Sabreliner,SBR1
_SBR1_2,Rockwell International,Rockwell NA-265 Sabre 40,SBR1
_SBR2_1,Rockwell International,Rockwell NA-265 Sabre 75,SBR2
_SW3_1,Fairchild Aircraft,Fairchild Merlin 3,SW3
_SW3_2,Fairchild Swearingen Corporation,Fairchild Swearingen Merlin 3,SW3
_X49_1,Sikorsky Aircraft Corporation,Sikorsky X-49 SpeedHawk,X49
ASTR,Gulfstream Aerospace Corporation,Gulfstream G100/150 (IAI Astra),ASTR
B18T,Beech Aircraft,Beechcraft Model 18 (turbine),B18T
B29,The Boeing Company,Boeing B-29 Superfortress,B29
C650,Cessna Aircraft Company,Cessna 650 Citation III,C650
DH3T,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-3 Turbo Otter,DH3T
DHC3,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-3 Otter,DHC3
K226,Kamov,Kamov Ka-226 Sergei,K226
LJ70,Learjet Inc,Learjet 70,LJ70
LJ75,Learjet Inc,Learjet 75,LJ75
P1,Kawasaki Heavy Industries Aerospace Company,Kawasaki XP-1,P1
P2,Lockheed Corporation,Lockheed P-2 Neptune,P2
P3,Lockheed Corporation,Lockheed P-3 Orion,P3
P4Y,Consolidated Aircraft,Consolidated PB4Y-2 Privateer,P4Y
S65C,Eurocopter Group ,Eurocopter AS365 Dauphin,S65C
SBR1,North American Aviation,North American Sabreliner,SBR1
SBR2,North American Rockwell Corporation,North American Rockwell Sabre 75,SBR2
SW2,Swearingen Aircraft,Swearingen SA-26 Merlin 2,SW2
SW3,Swearingen Aircraft,Swearingen SA-226T Merlin 3,SW3
TU4,Tupolev,Tupolev Tu-4,TU4
X49,Piasecki Aircraft Corporation,Piasecki X-49 SpeedHawk,X49
_AS65_2,Harbin Aircraft Manufacturing Corporation (HAMC),Harbin Z-9,AS65
_AS65_3,Helicópteros do Brasil SA,Helibras AS-365 Dauphin 2,AS65
_AS65_4,Vought Aircraft Industries,Vought SA-366 Panther 800,AS65
_AS65_9,Airbus Helicopters,Airbus Helicopters AS565 MBe,AS65
_B24_1,Convair,Convair B-24 Liberator,B24
_BK17_1,- see EUROCOPTER and KAWASAKI,Eurocopter-Kawasaki BK-117,BK17
_BK17_2,Construcciones Aeronáuticas SA (CASA),CASA BK-117,BK17
_BK17_3,Hyundai Precision Industry,Hyundai BK-117,BK17
_BK17_4,PT Industri Pesawat Terbang Nusantara,Nusantara NBK-117,BK17
_C04T_1,Omni Titan Corporation,Omni 404 Turbo Titan,C04T
_EX5T_1,Explorer Aircraft Inc,Explorer 500T,EX5T
_F600_1,SIAI-Marchetti,SIAI-Marchetti SF-600 Canguro,F600
_G250_1,Israel Aerospace Industries (IAI),IAI Gulfstream G250,G250
_G280_1,Israel Aerospace Industries (IAI),Gulfstream Aerospace Gulfstream G280,G280
_JCOM_1,Israel Aerospace Industries (IAI),IAI Westwind,JCOM
_LJ55_1,Learjet Inc,Learjet 55,LJ55
_LJ60_1,Learjet Inc,Learjet 60,LJ60
_NORS_1,Canadian Car & Foundry Company Ltd,CCF Norseman,NORS
_PAY3_1,Aero Industrial Colombiana SA,Aicsa PA-42-720 Cheyenne 3,PAY3
_PC6T_1,Fairchild Aircraft,Fairchild PC-6 Heli-Porter,PC6T
_PC6T_2,Fairchild Hiller Corporation,Fairchild Hiller PC-6 Heli-Porter,PC6T
_PEMB_1,Hunting Aircraft Ltd,Hunting P-66 Pembroke,PEMB
_PEMB_2,Hunting Percival Aircraft Ltd,Hunting Percival P-66 Pembroke,PEMB
ANST,Kazansky Vertoletnyi Zavod AO,Kazan Ansat,ANST
AS65,Eurocopter Group ,Eurocopter AS565 Panther,AS65
B17,The Boeing Company,Boeing B-17 Flying Fortress,B17
B222,Bell Helicopter,Bell 222,B222
B230,Bell Helicopter,Bell 230,B230
B24,Consolidated Aircraft,Consolidated B-24 Liberator,B24
BK17,- see MBB and KAWASAKI,MBB-Kawasaki BK-117,BK17
C04T,Cessna Aircraft Company,Cessna 404 (turbine),C04T
C404,Cessna Aircraft Company,Cessna 404 Titan,C404
C441,Cessna Aircraft Company,Cessna 441 Conquest II,C441
C56X,Cessna Aircraft Company,Cessna 560 Citation Excel/XLS/XLS+,C56X
CA12,Comp Air Inc,CA-12 Comp Air 12,CA12
E545,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-545 Legacy 450,E545
E737,The Boeing Company,Boeing 737 AEW&C Wedgetail,E737
E767,The Boeing Company,Boeing E-767,E767
EX5T,Aeronautical Engineers Australia Research Pty Ltd,AEA Explorer 500T,EX5T
F600,Vulcanair,Vulcanair SF-600 Canguro,F600
FA11,Fairchild Aircraft Ltd,Fairchild F-11 Husky,FA11
G250,Gulfstream Aerospace Corporation,Gulfstream Aerospace Gulfstream G250,G250
G280,Gulfstream Aerospace Corporation,Gulfstream Aerospace Gulfstream G280,G280
GA10,GippsAero Pty Ltd,GippsAero GA-10 Airvan,GA10
GSPN,Grob Aircraft,Grob G-180 SPn Utility Jet,GSPN
IL38,Ilyushin Aviation Complex,Ilyushin IL-38,IL38
JCOM,Aero Commander Inc,Aero Commander 1121 Jet Commander,JCOM
L10,Lockheed Corporation,Lockheed 10 Electra,L10
L29A,Lockheed Corporation,Lockheed JetStar,L29A
L29B,Lockheed Corporation,Lockheed L-1329 Jetstar 2,L29B
LJ55,Gates Learjet Corporation,Learjet 55,LJ55
LJ60,Gates Learjet Corporation,Learjet 60,LJ60
LJ85,Learjet Inc,Learjet 85,LJ85
NORS,Noorduyn Norseman Aircraft Ltd,Noorduyn C-64 Norseman,NORS
P212,Costruzioni Aeronautiche Tecnam,Tecnam P2012 Traveller,P212
PAY3,"Piper Aircraft, Inc",Piper PA-42 Cheyenne,PAY3
PC12,Pilatus Aircraft Ltd,Pilatus PC-12,PC12
PC24,Pilatus Aircraft Ltd,Pilatus PC-24,PC24
PC6P,Pilatus Aircraft Ltd,Pilatus PC-6 Porter,PC6P
PC6T,Pilatus Aircraft Ltd,Pilatus PC-6 Turbo-Porter,PC6T
PEMB,Percival Aircraft Ltd,Percival P-66 Pembroke,PEMB
S360,Aérospatiale,Aerospatiale SA-360 Dauphin,S360
S38,Sikorsky Aircraft Corporation,Sikorsky S-38,S38
SHAC,Avro (A.V.Roe & Company),Avro 696 Shackleton,SHAC
STLN,Helio Aircraft Company,Helio HST-550 Stallion,STLN
TRIM,Ford Motor Company,Ford Tri-Motor,TRIM
TRMA,Stinson Aircraft Corporation,Stinson Model A,TRMA
U16,Grumman Aerospace Corporation,Grumman HU-16 Albatross,U16
WW23,Israel Aerospace Industries (IAI),IAI 1123 Westwind,WW23
WW24,Israel Aerospace Industries (IAI),IAI 1124 Westwind,WW24
H145,Airbus Helicopters,Airbus Helicopters H145,EC45
H145M,Airbus Helicopters,Airbus Helicopters H145M,EC45
_BE18_1,Hamilton Metalplane Company,Hamilton Little Liner,BE18
_BE18_2,Volpar Inc,Volpar 18,BE18
_BE40_1,Hawker Beechcraft Corporation ,Hawker Beechcraft Hawker 400,BE40
_BE40_2,Raytheon Aircraft Company,Raytheon 400 Beechjet,BE40
_BE65_1,Excalibur Aviation Company,Excalibur Queenaire 800 (65),BE65
_BE65_2,Swearingen Aircraft,Swearingen 800 (65),BE65
_BE80_1,Excalibur Aviation Company,Excalibur Queenaire 800 (80),BE80
_BE80_2,Swearingen Aircraft,Swearingen 800 (80),BE80
_BN2P_1,Avions Fairey SA,Avions Fairey BN-2A Islander,BN2P
_BN2P_2,B-N Group Ltd,B-N Group BN-2B Islander,BN2P
_BN2P_3,Intreprinderea de Avioane Bucuresti,Bucuresti BN-2B Islander,BN2P
_BN2P_4,Intreprinderea de Reparat Material Aeronautic,Irma BN-2A Islander,BN2P
_BN2P_5,Philippine Aerospace Development Corporation,Padc BN-2A Islander,BN2P
_BN2P_6,Pilatus Britten-Norman Ltd,Pilatus Britten-Norman BN-2A Islander,BN2P
_BN2P_7,SC Romaero SA,Romaero BN-2B Islander,BN2P
_BN2T_1,B-N Group Ltd,B-N Group BN-2T Defender 4000,BN2T
_BN2T_2,Intreprinderea de Avioane Bucuresti,Bucuresti BN-2T Turbine Islander,BN2T
_BN2T_3,Pilatus Britten-Norman Ltd,Pilatus Britten-Norman BN-2T Turbine Islander,BN2T
_BN2T_4,SC Romaero SA,Romaero BN-2T Turbine Islander,BN2T
_C02T_1,American Jet Industries Inc,AJI Turbo Star 402,C02T
_C02T_2,Scenic Aviation Services,Scenic Turbo Star 402,C02T
_C402_1,Aviones de Colombia SA,Aviones Colombia 402,C402
_CA1T_1,Aerocomp Inc,CA-10T Comp Air 10T,CA1T
_CRES_1,New Zealand Aerospace Industries Ltd,New Zealand Cresco,CRES
_EC45_1,- see EUROCOPTER and KAWASAKI,Eurocopter-Kawasaki EC-145,EC45
_LJ45_1,Learjet Inc,Learjet 45,LJ45
_LYNX_1,Westland Aircraft,Westland AW-159 Lynx Wildcat,LYNX
_MI2_1,PZL Świdnik SA,PZL-Swidnik Mi-2 Bazant,MI2
A169,AgustaWestland,AgustaWestland AW169,A169
B609,AgustaWestland,AgustaWestland AW609,B609
BE18,Beech Aircraft,Beechcraft Model 18 Twin Beech,BE18
BE40,Beech Aircraft,Beechcraft Model 400 Beechjet,BE40
BE65,Beech Aircraft,Beechcraft Model 65 Queen Air,BE65
BE70,Beech Aircraft,Beechcraft Model 70 Queen Air,BE70
BE80,Beech Aircraft,Beechcraft Model 80 Queen Air,BE80
BE88,Beech Aircraft,Beechcraft Model 88 Queen Air,BE88
BN2P,Britten-Norman (B-N Group),Britten-Norman BN-2B Islander,BN2P
BN2T,Britten-Norman (B-N Group),Britten-Norman BN-2T Islander,BN2T
C02T,Cessna Aircraft Company,Cessna 402 (turbine),C02T
C208,Cessna Aircraft Company,Cessna 208A Caravan I/675,C208
C25A,Cessna Aircraft Company,Cessna 525A Citation Jet CJ2,C25A
C25B,Cessna Aircraft Company,Cessna 525B Citation Jet CJ3,C25B
C25C,Cessna Aircraft Company,Cessna 525C Citation Jet CJ4,C25C
C402,Cessna Aircraft Company,Cessna 402,C402
C525,Cessna Aircraft Company,Cessna 525 Citation Jet CJ1,C525
C68A,Cessna Aircraft Company,Cessna 680A Citation Latitude,C68A
CA1P,Aerocomp Inc,CA-10 Comp Air 10,CA1P
CA1T,Comp Air Inc,CA-10XLT Comp Air 10XLT,CA1T
CRES,Pacific Aerospace Ltd,PAC Cresco,CRES
E121,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-121 Xingu,E121
EC45,Eurocopter Group ,Eurocopter EC145,EC45
EVAN,Evangel Aircraft Corporation,Evangel 4500,EVAN
FA50,Dassault Aviation,Dassault Falcon 50,FA50
LJ45,Gates Learjet Corporation,Learjet 45,LJ45
LYNX,AgustaWestland,AgustaWestland AW159 Wildcat,LYNX
MI2,Mil Moscow Helicopter Plant,Mil Mi-2,MI2
MU30,Mitsubishi Heavy Industries,Mitsubishi MU-300 Diamond,MU30
P180,Piaggio Aero Industries,Piaggio P.180 Avanti,P180
P750,Pacific Aerospace Ltd,Pacific PAC 750XL,P750
UH1,Bell Helicopter,Bell 204/205,UH1
A109S,AgustaWestland,AgustaWestland AW109S Grand,A109
H135,Airbus Helicopters,Airbus Helicopters H135,EC35
_A109_1,Agusta,Agusta A-109,A109
_A109_2,Denel Aviation,Denel A-109,A109
_A109_3,Société Anonyme Belge de Constructions Aéronautiques,SABCA A-109,A109
_B26_1,On Mark Engineering Company,On Mark Marksman,B26
_C07T_1,Soloy Conversions Ltd,Soloy Turbine 207,C07T
_C14T_1,American Jet Industries Inc,Aji Turbo Star 414,C14T
_C14T_2,Scenic Aviation Services,Scenic Turbo Star 414,C14T
_C207_1,Reims Aviation,Reims F207,C207
_C414_1,Aviones de Colombia SA,Aviones Colombia 414,C414
_C414_2,Riley Aircraft Corporation,Riley Rocket Power 414,C414
_CA8_1,Aerocomp Inc,Aerocomp CA-8 Comp Air 8,CA8
_CAJ_1,Aerocomp Inc,Aerocomp CA-J Comp Air Jet,CAJ
_CAT_1,Boeing Aircraft of Canada Ltd,Boeing Canada PBY Catalina,CAT
_CAT_2,Canadair Ltd,Canadair CL-1 Catalina,CAT
_CAT_3,Canadian Vickers Ltd,Canadian Vickers PBY Catalina,CAT
_CAT_4,Convair,Convair PBY Catalina,CAT
_DOVE_1,Hawker Siddeley,Hawker Siddeley DH.104 Dove,DOVE
_DOVE_2,Riley Aircraft Corporation,Riley Dove 400,DOVE
_GAVI_1,Aero Mercantil SA,Aero Mercantil 358 Gavilan,GAVI
_HA4T_1,Hawker Beechcraft Corporation ,Hawker Beechcraft Hawker 4000,HA4T
_HA4T_2,Raytheon Aircraft Company,Raytheon 4000 Hawker Horizon,HA4T
_LA60_1,Aeronautica Macchi SpA,Macchi AL-60,LA60
_LA60_2,Atlas Aircraft Corporation,Atlas AL-60 Kudu,LA60
_LA60_3,Lockheed Corporation,Lockheed LASA-60,LA60
_LA60_4,Lockheed-Azcarate SA,Lockheed-Azcarate LASA-60 Santa Maria,LA60
_LJ25_1,Lear Jet Corporation,Learjet 25,LJ25
_LJ31_1,Learjet Inc,Learjet 31,LJ31
_LJ35_1,Learjet Inc,Learjet 35,LJ35
_MD60_1,Hongdu MD Helicopters,Hongdu Md Helicopters MD-600N,MD60
_MD60_2,McDonnell Douglas,McDonnell Douglas MD-600N,MD60
_MD60_3,The Boeing Company,Boeing MD-600N,MD60
_PA31_1,Aero Industrial Colombiana SA,Aicsa PA-31-310 Navajo,PA31
_PA31_2,Chincul SACAIFI,Chincul PA-A-31-310 Navajo,PA31
_PA31_3,Colemill Enterprises Inc,Colemill Panther Navajo,PA31
_PA31_4,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-820 Navajo,PA31
_PA31_5,Industria Aeronáutica Neiva SA,Neiva EMB-820 Navajo,PA31
_PAY1_1,Chincul SACAIFI,Chincul PA-A-31T1-500 Cheyenne 1,PAY1
_PRM1_1,Hawker Beechcraft Corporation ,Hawker Beechcraft 390 Premier 1,PRM1
_PRM1_2,Raytheon Aircraft Company,Raytheon 390 Premier 1,PRM1
A109,AgustaWestland,AgustaWestland AW109,A109
A270,Aero Vodochody,Aero Ae-270 Ibis,A270
AVK4,Avtek Corporation,Avtek 400,AVK4
B430,Bell Helicopter,Bell 430,B430
BER4,Beriev Aircraft Company,Beriev A-40 Albatross,BER4
C07T,Cessna Aircraft Company,Cessna 207 (turbine),C07T
C14T,Cessna Aircraft Company,Cessna 414 (turbine),C14T
C207,Cessna Aircraft Company,Cessna 207 Stationair 7,C207
C25M,Cessna Aircraft Company,Cessna 525 Citation M2,C25M
C411,Cessna Aircraft Company,Cessna 411,C411
C414,Cessna Aircraft Company,Cessna 414 Chancellor,C414
C421,Cessna Aircraft Company,Cessna 421 Golden Eagle,C421
C425,Cessna Aircraft Company,Cessna 425 Corsair,C425
C5,Lockheed Corporation,Lockheed C-5 Galaxy,C5
C550,Cessna Aircraft Company,Cessna 550 Citation II,C550
C551,Cessna Aircraft Company,Cessna 551 Citation II/SP,C551
C55B,Cessna Aircraft Company,Cessna 550B Citation Bravo,C55B
C560,Cessna Aircraft Company,Cessna 560 Citation V/Ultra/Encore/Encore+,C560
C5M,Lockheed Corporation,Lockheed C-5M Super Galaxy,C5M
CA8,Comp Air Inc,CA-8 Comp Air 8,CA8
CAJ,Comp Air Inc,CA-J Comp Air Jet,CAJ
CAT,Consolidated Aircraft,Consolidated PBY Catalina,CAT
D28D,Dornier Flugzeugwerke,Dornier Do 28 Skyservant,D28D
D28T,Dornier Flugzeugwerke,Dornier Do-28D-6 Turbo Skyservant,D28T
DH89,de Havilland Aircraft Company ,de Havilland DH.89 Dragon Rapide,DH89
DO28,Dornier Flugzeugwerke,Dornier Do-28A,DO28
DOVE,de Havilland Aircraft Company ,de Havilland DH.104 Dove,DOVE
EC35,Eurocopter Group ,Eurocopter EC135,EC35
FA10,Dassault Aviation,Dassault Falcon 10,FA10
GAVI,El Gavilán SA,Gavilan EL-1 Gavilan 358,GAVI
HA4T,Hawker Aircraft,Hawker 4000,HA4T
KA26,Kamov,Kamov Ka-26,KA26
LA60,Aermacchi,Aermacchi AL-60 Trojan,LA60
LA8,OOO NPO AeroVolga,Aero-Volga LA-8,LA8
LJ25,Gates Learjet Corporation,Learjet 25,LJ25
LJ28,Gates Learjet Corporation,Learjet 28/29 Longhorn,LJ28
LJ31,Gates Learjet Corporation,Learjet 31,LJ31
LJ35,Gates Learjet Corporation,Learjet 35/36,LJ35
M101,Myasishchev OKB,Myasishchev M-101 Gzhel,M101
MD60,MD Helicopters Inc.,MD Helicopters MD 600,MD60
MI24,Mil Moscow Helicopter Plant,Mil Mi-24,MI24
MYA4,Myasishchev OKB,Myasishchev M-4,MYA4
PA31,"Piper Aircraft, Inc",Piper PA-31 Navajo,PA31
PAY1,"Piper Aircraft, Inc",Piper PA-31T Cheyenne,PAY1
PRM1,Hawker Beechcraft Corporation ,Beechcraft Premier I,PRM1
SA20,Beriev Aircraft Company,Beriev SA-20P,SA20
SH5,Harbin Aircraft Manufacturing Corporation (HAMC),Harbin SH-5,SH5
SP33,Spectrum Aeronautical,Spectrum S-33 Independence,SP33
SUNV,Atlantic Aircraft Corporation,Fokker Super Universal,SUNV
U21,Beech Aircraft,Beech U-21A Ute,U21
HC130,Lockheed Corporation,Lockheed HC-130,C130
LC130,Lockheed Corporation,Lockheed LC-130,C130
_A119_2,Denel Aviation,Denel A-119 Koala,A119
_ANGL_1,The King's Engineering Fellowship,King's Model 44 Angel,ANGL
_B407_1,PT Industri Pesawat Terbang Nusantara,Nusantara NBell 407,B407
_B427_1,Korea Aerospace Industries Ltd. (KAI),Korea Aerospace SB-427,B427
_BE9L_1,Hawker Beechcraft Corporation ,Hawker Beechcraft King Air 90,BE9L
_BE9L_2,Jetcrafters Inc,Jetcrafters Taurus 90,BE9L
_BE9L_3,Raytheon Aircraft Company,Raytheon 90 King Air,BE9L
_BE9L_4,Swearingen Aircraft,Swearingen Taurus 90,BE9L
_CA7P_1,Aerocomp Inc,Aerocomp CA-7P Comp Air 7P,CA7P
_CA7T_1,Aerocomp Inc,Aerocomp Comp Air 7T,CA7T
_DHC2_1,Airtech Canada Aviation Services Ltd,Airtech DHC-2-PZL3S Beaver,DHC2
_GA8_1,Gippsland Aeronautics,Gippsland GA-8 Airvan,GA8
_LJ40_1,Learjet Inc,Learjet 40,LJ40
_S61_1,Agusta,Agusta AS-61A,S61
_S61_2,Helipro Corporation International,Helipro S-61 Shortsky,S61
_S61_3,Mitsubishi Heavy Industries,Mitsubishi S-61A,S61
_S61_4,United Aircraft of Canada,United Canada CH-124 Sea King,S61
_S61_5,Westland Aircraft,Westland WS-61 Sea King,S61
_SJ30_1,Emivest Aerospace Corporation,Emivest SJ-30,SJ30
_SJ30_2,Sino Swearingen Aircraft Company,Sino Swearingen SJ-30,SJ30
_SM92_1,Moravan Otrokovice,Moravan Zlin Z-400 Rhino,SM92
_SM92_2,Zlin,Zlin Z-400 Rhino,SM92
_STAR_1,Raytheon Aircraft Company,Raytheon 2000 Starship,STAR
_VTOR_1,Taneja Aerospace and Aviation Ltd,Taneja AP-68TP-600 Viator,VTOR
_VTOR_2,Vulcanair,Vulcanair AP-68TP-600 Viator,VTOR
A119,AgustaWestland,AgustaWestland AW119 Koala,A119
AN30,Antonov,Antonov An-30,AN30
ANGL,Angel Aircraft Corporation,AAC Model 44 Angel,ANGL
B26M,Glenn L. Martin Company,Martin B-26 Marauder,B26M
B407,Bell Helicopter,Bell 407,B407
B427,Bell Helicopter,Bell 427,B427
B429,Bell Helicopter,Bell 429 GlobalRanger,B429
BE9L,Beech Aircraft,Beechcraft Model 90 King Air,BE9L
BE9T,Beech Aircraft,Beechcraft Model F90 King Air,BE9T
C500,Cessna Aircraft Company,Cessna 500 Citation I,C500
C501,Cessna Aircraft Company,Cessna 501 Citation I/SP,C501
CA7P,Comp Air Inc,CA-7P Comp Air 7,CA7P
CA7T,Comp Air Inc,CA-7T Comp Air 7SLX,CA7T
DA62,Diamond Aircraft,Diamond DA-62,DA62
DH2T,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-2 Mk3 Turbo Beaver,DH2T
DHC2,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-2 Beaver,DHC2
G21,Grumman Aerospace Corporation,Grumman G-21 Goose,G21
GA8,GippsAero Pty Ltd,Gippsland GA-8 Airvan,GA8
IL76,Ilyushin Aviation Complex,Ilyushin IL-76,IL76
LANC,Avro (A.V.Roe & Company),Avro 683 Lancaster,LANC
LJ40,Gates Learjet Corporation,Learjet 40,LJ40
OMLA,OMAC Inc,Omac Laser 300,OMLA
P8,The Boeing Company,Boeing P-8 Poseidon,P8
PA47,"Piper Aircraft, Inc",Piper PA-47 Piper Jet,PA47
RC70,Rockwell International,Rockwell Commander 700,RC70
S61,Sikorsky Aircraft Corporation,Sikorsky SH-3 Sea King,S61
SF50,Cirrus Aircraft,Cirrus Vision SF50,SF50
SJ30,Swearingen Aircraft,Swearingen SJ-30,SJ30
SM92,SCF Technoavia,Technoavia SM92 Finist,SM92
STAR,Beech Aircraft,Beechcraft Model 2000 Starship,STAR
